datasource,week,vx_manufacturer,dose,riskfactor,AESI,IR,lb,ub
ARS,20210301,none,no_dose,COVCKD,ACUASEARTHRITIS_broad,0,0,0
ARS,20210308,none,no_dose,COVCKD,ACUASEARTHRITIS_broad,0,0,0
ARS,20210315,none,no_dose,COVCKD,ACUASEARTHRITIS_broad,0,0,0
ARS,20210322,none,no_dose,COVCKD,ACUASEARTHRITIS_broad,0,0,0
ARS,20210329,none,no_dose,COVCKD,ACUASEARTHRITIS_broad,0,0,0
ARS,20200106,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200113,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200120,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200127,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200203,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200210,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200217,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200224,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200302,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200309,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200316,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200323,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,621.12,87.49,4409.53
ARS,20200330,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200406,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200413,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200420,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200427,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200504,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200511,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200518,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200525,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200601,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200608,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200615,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200622,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200629,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200706,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200713,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200720,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200727,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200803,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200810,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200817,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200824,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200831,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200907,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200914,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200921,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200928,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201005,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201012,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201019,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201026,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201102,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201109,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201116,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201123,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201130,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201207,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201214,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201221,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20201228,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210104,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210111,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210118,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210125,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210201,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210208,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210215,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210222,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210301,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210308,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210315,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210322,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210329,none,no_dose,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20210329,Pfizer,1,COVDIAB,ACUASEARTHRITIS_broad,0,0,0
ARS,20200106,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200113,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200120,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200127,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200203,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200210,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200217,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200224,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200302,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200309,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200316,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200323,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200330,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200406,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200413,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200420,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200427,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200504,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200511,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200518,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200525,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200601,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200608,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200615,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200622,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200629,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200706,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200713,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200720,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200727,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200803,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200810,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200817,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200824,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200831,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200907,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200914,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200921,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200928,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201005,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201012,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201019,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201026,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201102,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201109,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201116,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201123,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201130,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201207,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201214,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201221,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20201228,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210104,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210111,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210118,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210125,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210201,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210208,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210215,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210222,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210301,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210308,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210315,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210322,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20210329,none,no_dose,IMMUNOSUPPR,ACUASEARTHRITIS_broad,0,0,0
ARS,20200106,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200113,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200120,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200127,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200203,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200210,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200217,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200224,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200302,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200309,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200316,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200323,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,162.34,22.87,1152.5
ARS,20200330,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200406,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200413,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200420,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200427,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200504,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200511,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200518,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200525,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200601,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200608,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200615,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200622,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200629,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200706,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200713,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200720,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200727,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200803,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200810,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200817,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200824,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200831,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200907,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200914,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200921,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200928,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201005,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201012,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201019,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201026,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201102,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201109,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201116,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201123,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201130,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201207,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201214,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201221,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20201228,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210104,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210111,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210118,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210125,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210201,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210208,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210215,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210222,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210301,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210308,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210308,Pfizer,1,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210315,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210315,Pfizer,1,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210322,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210322,Pfizer,1,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210329,none,no_dose,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20210329,Pfizer,1,any_risk_factors,ACUASEARTHRITIS_broad,0,0,0
ARS,20200106,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200113,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200120,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200127,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200203,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200210,none,no_dose,CV,HF_narrow,305.81,43.08,2171.05
ARS,20200217,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200224,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200302,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200309,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200316,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200323,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200330,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200406,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200413,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200420,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200427,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200504,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200511,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200518,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200525,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200601,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200608,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200615,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200622,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200629,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200706,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200713,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200720,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200727,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200803,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200810,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200817,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200824,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200831,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200907,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200914,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200921,none,no_dose,CV,HF_narrow,0,0,0
ARS,20200928,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201005,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201012,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201019,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201026,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201102,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201109,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201116,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201123,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201130,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201207,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201214,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201221,none,no_dose,CV,HF_narrow,0,0,0
ARS,20201228,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210104,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210111,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210118,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210125,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210201,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210208,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210215,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210222,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210301,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210308,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210315,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210322,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210329,none,no_dose,CV,HF_narrow,0,0,0
ARS,20210329,Pfizer,1,CV,HF_narrow,0,0,0
ARS,20200106,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200113,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200120,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200127,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200203,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200210,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200217,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200224,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200302,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200309,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200316,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200323,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200330,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200406,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200413,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200420,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200427,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200504,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200511,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200518,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200525,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200601,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200608,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200615,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200622,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200629,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200706,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200713,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200720,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200727,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200803,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200810,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200817,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200824,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200831,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200907,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200914,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200921,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200928,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201005,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201012,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201019,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201026,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201102,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201109,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201116,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201123,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201130,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201207,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201214,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201221,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20201228,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210104,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210111,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210118,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210125,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210201,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210208,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210215,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210222,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210301,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210308,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210315,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210322,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20210329,none,no_dose,COVCANCER,HF_narrow,0,0,0
ARS,20200106,none,no_dose,COVCOPD,HF_narrow,0,0,0
ARS,20200113,none,no_dose,COVCOPD,HF_narrow,0,0,0
ARS,20200120,none,no_dose,COVCOPD,HF_narrow,0,0,0
ARS,20200127,none,no_dose,COVCOPD,HF_narrow,0,0,0
ARS,20200203,none,no_dose,COVCOPD,HF_narrow,0,0,0
